customer_id,ip,pages_visited,campain
a4dc1548af,137.136.24.131,2.0,False
e8f6f7853c,138.210.203.174,6.0,False
5802162c20,180.146.226.87,5.0,True
67dc195843,96.35.80.144,6.0,False
7c52e0eab6,131.188.76.70,2.0,False
ef433d39c6,155.211.228.62,4.0,False
17b8b214b0,193.27.51.235,3.0,False
1c3ddff940,54.20.63.125,9.0,False
61a7d084f5,77.145.246.233,4.0,False
61a7d084f5,132.46.252.71,5.0,False
ff971288b2,129.52.10.9,5.0,False
d72e9b958a,179.62.114.45,8.0,False
87f89d1fe4,175.123.178.71,3.0,False
87f89d1fe4,200.161.88.189,5.0,False
23b5dae249,58.154.77.202,6.0,False
82c97f8fbc,123.192.195.27,1.0,True
1208f3603c,170.116.155.38,8.0,False
ce7bd68e91,46.166.212.32,5.0,False
50d150a385,113.244.125.229,9.0,False
b25f411e02,52.157.162.166,7.0,False
eda2d9d70a,65.193.187.34,13.0,False
c3a94ea2b0,193.196.44.187,5.0,False
68752ccdb7,163.124.156.83,6.0,False
c73d54ceb4,134.107.54.61,3.0,False
d458f3e372,94.249.111.104,1.0,False
8ad19a93d3,113.46.78.225,6.0,False
3dd642eabf,64.51.247.17,10.0,True
744e6b6b69,153.61.234.4,11.0,False
0c8850d2f7,115.133.75.156,6.0,True
0dbf9ac289,134.141.23.127,7.0,False
323f53ec46,134.7.211.243,7.0,True
0ff83e41eb,86.172.120.155,7.0,False
a14684b3c2,190.115.79.226,7.0,False
dd5e044d69,166.124.251.157,3.0,False
5317ff75d9,55.247.159.89,6.0,False
33e44f3d61,180.208.218.33,6.0,False
107d82bec6,125.131.69.210,8.0,False
f2d8afa0eb,134.183.234.44,3.0,False
96ebf96df2,153.210.207.106,6.0,True
54dedcf486,182.90.62.99,8.0,False
3b1a3d1f80,159.48.228.133,3.0,False
a34623fabf,154.23.31.195,4.0,True
8a2f7c6e4c,154.25.82.17,6.0,True
6c69226614,126.2.203.149,11.0,False
a01de4cac3,84.200.230.6,6.0,True
a9206a94c0,70.168.71.118,7.0,False
00bdf912c4,139.19.91.93,5.0,False
179a7fa5fb,141.220.28.107,8.0,True
646eb92052,48.212.61.82,7.0,True
31c8e83fa5,143.188.143.235,5.0,False
9c5aadb0c2,184.85.3.218,6.0,False
1d51c9e033,106.166.222.213,7.0,False
364b971135,78.6.45.82,9.0,False
4af00ddbca,178.40.225.203,11.0,False
20391b0046,181.21.93.62,3.0,True
70dc2af2de,107.200.64.93,8.0,False
fd030c2ed2,135.114.119.5,7.0,False
40b5a2eeae,171.59.113.94,7.0,False
1a23b835fb,66.5.18.209,5.0,True
3de2c07555,178.191.83.1,8.0,False
fb8604b0a6,166.14.37.230,6.0,True
c3d823c5ac,135.98.65.19,5.0,False
ac285cfb88,170.38.93.199,6.0,False
6ef4de836b,187.184.18.159,5.0,False
1efdabf5e9,48.171.145.50,4.0,False
eb38117368,175.22.160.187,6.0,True
c5c16f4f13,87.109.130.187,5.0,False
493067ec34,95.188.84.98,13.0,False
17a13d04f5,193.108.242.73,6.0,False
6492c9ca1a,112.7.236.69,6.0,False
f4bc31829c,117.245.145.68,6.0,True
0e05252c1c,67.164.240.190,9.0,False
e57ed139fe,67.81.70.11,5.0,False
d509397d20,189.71.111.88,4.0,True
8c9429a3e8,152.155.230.85,5.0,True
58da7637fb,98.180.89.207,8.0,False
ac6025cefc,198.86.230.100,4.0,False
2a804daa5a,49.166.214.79,6.0,True
d0f60ed40d,148.147.112.161,4.0,False
5fddecf5fc,85.136.112.146,8.0,True
0d0509f0c1,91.62.77.37,9.0,False
88ff7ee13d,176.150.31.23,6.0,False
440364d3ed,112.95.173.20,4.0,False
b24ec338ab,97.148.191.53,8.0,False
269ca47391,161.43.221.85,3.0,False
63e3824a6b,90.242.128.131,5.0,True
88a4ea14c8,75.228.26.104,10.0,False
145f6fa2ae,68.200.131.229,9.0,True
fc40aa699d,166.89.61.188,5.0,False
52e1e72e77,166.107.127.233,3.0,False
7f115c147a,156.61.79.67,7.0,False
0e67deba5d,135.50.210.226,3.0,False
8e6ec9b1a4,128.251.147.115,6.0,False
d35bf4de71,169.232.66.73,4.0,False
6408379aae,91.197.48.15,7.0,False
c872008d18,72.40.227.185,6.0,False
542c090413,178.28.77.151,8.0,True
52bd364cae,116.158.194.238,6.0,True
76ef72ce98,87.238.146.144,6.0,False
87bdc34c36,163.154.139.188,7.0,False
b1fd7312f4,143.162.74.215,7.0,False
20b0b28d6c,198.108.20.58,8.0,False
3207e81a21,91.86.190.26,6.0,True
4519db360a,58.219.62.154,8.0,False
e950247701,163.100.27.96,6.0,False
48d5bad236,71.162.200.58,5.0,False
747a57f995,194.216.116.254,4.0,True
9ce5795977,116.169.227.183,5.0,True
8dfe022c07,97.82.96.225,6.0,False
d275f6f0de,177.107.27.245,6.0,True
e79ddc2174,41.241.190.7,6.0,False
49dd788d01,67.183.127.207,6.0,False
bd7bcc685a,159.195.239.92,14.0,True
a2f789a540,190.143.73.144,2.0,False
db9aa0b2c4,58.19.107.194,6.0,False
d674855ea8,124.3.129.199,3.0,False
6fe2253d9c,162.242.5.23,7.0,True
02e14ea500,139.194.100.206,9.0,False
e562069b54,171.112.90.147,1.0,False
3b44c575a2,78.243.36.135,5.0,False
0ea44d5f41,63.88.220.205,5.0,True
d36c2842d1,91.129.44.201,7.0,True
04c1fec189,92.1.64.211,3.0,False
b8ecaa19c4,158.205.176.17,5.0,False
f4808eb7e3,51.129.153.246,5.0,False
73d6f57c73,41.141.37.211,13.0,False
f531be66e7,180.239.181.124,8.0,True
5500597f5b,183.46.133.97,8.0,True
16920ca2db,189.8.120.66,6.0,False
82f4fbf420,90.187.101.198,5.0,False
fa10179e90,70.127.210.32,5.0,False
38f1bac0f3,86.248.212.4,9.0,False
ca72ffb04d,153.130.145.171,5.0,False
b5b93cd586,176.217.125.65,7.0,False
d554d438b2,198.192.55.249,9.0,True
f4bb239054,180.218.242.187,6.0,False
c674578835,122.180.45.116,9.0,True
e824fe766f,111.2.107.66,8.0,False
84442c148f,125.196.31.53,6.0,True
